searchset,pubmed,proquest,ebscohost,wos,ovid
s01,2455040,2467649,2467319,2462216,2452952
s02,388673,388527,388411,387839,388384
s03,2250992,2238672,2238971,2238089,2232456
s04,349583,347182,347195,347173,347184
s05,15004,15009,15086,14711,14830
s06,41436,40859,40860,40858,40859
s07,172,184,184,169,171
s08,2838141,2818063,2815999,347173,2815946
s09,72297,72638,72984,14711,71594
s10,134205,132589,132596,132586,132590
s11,2181,2532,2544,2075,2160
s12,36453,36444,36436,36421,36434
s13,376,375,375,373,375
s14,1046,1106,1106,1236,1112
s15,35030,35021,35013,34998,35011
s16,1423,1423,1423,1423,1423
s17,41,41,41,41,41
s18,745,678,774,886,744
s19,3485,3485,3485,3479,3485
s20,111,111,111,111,110
s21,16232,18626,16227,16218,16223
s22,45603,45565,45549,45469,45548
s23,148552,151802,148396,148139,148383
s24,597,596,595,0,595
s25,12627,12614,12609,12585,12609
s26,576,576,575,575,575
s27,9372,9369,9359,9335,9360
s28,45027,44989,44974,9335,44973
s29,139180,142433,139037,138804,139023
